# UID MID Rating
80 0 2
80 1 3
80 2 0
80 3 0
80 4 2
80 5 0
80 6 1
80 7 1
80 8 0
80 9 1
80 10 1
80 11 0
80 12 3
80 13 4
80 14 1
80 15 3
80 16 1
80 17 1
80 18 3
80 19 1
80 20 2
80 21 1
80 22 1
80 23 2
80 24 2
80 25 5
80 26 0
80 27 0
80 28 1
80 29 1
80 30 4
80 31 1
80 32 1
80 33 5
80 34 1
80 35 4
80 36 0
80 37 1
80 38 3
80 39 2
80 40 4
80 41 3
80 42 2
80 43 5
80 44 2
80 45 4
80 46 5
80 47 0
80 48 2
80 49 2
80 50 1
80 51 5
80 52 5
80 53 3
80 54 1
80 55 2
80 56 4
80 57 4
80 58 2
80 59 4
80 60 1
80 61 1
80 62 5
80 63 2
80 64 5
80 65 4
80 66 1
80 67 1
80 68 1
80 69 2
80 70 1
80 71 4
80 72 3
80 73 4
80 74 0
80 75 3
80 76 3
80 77 2
80 78 3
80 79 4
80 80 3
80 81 4
80 82 1
80 83 4
80 84 0
80 85 4
80 86 1
80 87 4
80 88 5
80 89 0
80 90 5
80 91 2
80 92 5
80 93 3
80 94 4
80 95 2
80 96 0
80 97 5
80 98 1
80 99 4
80 100 4
80 101 2
80 102 1
80 103 5
80 104 5
80 105 2
80 106 4
80 107 0
80 108 2
80 109 0
80 110 1
80 111 1
80 112 0
80 113 3
80 114 1
80 115 2
80 116 5
80 117 3
80 118 1
80 119 4
80 120 3
80 121 4
80 122 3
80 123 5
80 124 4
80 125 1
80 126 1
80 127 5
80 128 3
80 129 3
80 130 5
80 132 2
80 133 2
80 134 5
80 135 3
80 137 3
80 138 0
80 139 1
80 140 2
80 141 5
80 143 5
80 144 3
80 145 5
80 146 1
80 147 1
80 148 5
80 150 5
80 151 5
80 153 4
80 154 4
80 155 0
80 156 4
80 157 2
80 158 2
80 159 3
80 160 4
80 161 5
80 162 5
80 163 3
80 164 1
80 165 5
80 166 0
80 167 1
80 168 0
80 169 4
80 170 2
80 171 5
80 174 3
80 175 0
80 176 3
80 177 2
80 178 0
80 179 3
80 180 2
80 181 2
80 182 0
80 183 5
80 184 4
80 185 1
80 186 3
80 187 2
80 188 3
80 189 1
80 190 1
80 191 3
80 192 2
80 193 5
80 194 5
80 196 2
80 197 1
80 198 4
80 199 5
80 202 2
80 203 0
80 204 2
80 205 4
80 206 1
80 208 4
80 209 0
80 210 0
80 211 1
80 214 2
80 216 1
80 217 1
80 218 5
80 219 2
80 220 3
80 221 2
80 223 5
80 224 2
80 225 5
80 227 3
80 229 3
80 232 1
80 233 3
80 234 5
80 235 4
80 236 0
80 237 2
80 238 4
80 239 0
80 240 0
80 242 2
80 244 5
80 245 0
80 246 4
80 247 1
80 248 0
80 249 0
80 250 0
80 251 5
80 252 5
80 254 5
80 257 0
80 258 2
80 259 1
80 260 3
80 264 0
80 265 0
80 266 0
80 267 5
80 269 2
80 272 0
80 276 4
80 278 4
80 279 2
80 280 4
80 281 3
80 282 4
80 283 4
80 285 5
80 286 3
80 287 3
80 288 4
80 289 5
80 291 2
80 292 4
80 294 1
80 296 2
80 297 4
80 298 5
80 299 2
80 300 5
80 301 0
80 302 4
80 304 5
80 305 5
80 306 3
80 308 0
80 309 2
80 310 5
80 314 3
80 315 4
80 317 0
80 318 5
80 319 1
80 320 4
80 321 2
80 322 5
80 326 3
80 329 4
80 330 0
80 331 0
80 332 3
80 333 4
80 334 5
80 335 2
80 336 0
80 337 2
80 338 5
80 339 1
80 340 4
80 344 0
80 346 1
80 347 1
80 348 5
80 350 5
80 352 0
80 354 5
80 355 3
80 356 0
80 359 1
80 362 4
80 363 3
80 364 0
80 365 0
80 367 0
80 368 3
80 370 1
80 372 1
80 373 5
80 375 2
80 378 4
80 380 2
80 381 4
80 382 0
80 383 4
80 385 2
80 386 0
80 387 3
80 388 0
80 390 2
80 391 1
80 392 2
80 394 5
80 395 2
80 397 2
80 398 0
80 399 4
80 400 4
80 402 3
80 403 1
80 404 0
80 408 3
80 410 3
80 411 0
80 412 5
80 414 5
80 417 3
80 425 4
80 426 4
80 429 2
80 430 5
80 435 4
80 436 5
80 437 4
80 438 4
80 439 0
80 440 3
80 442 3
80 443 3
80 445 0
80 449 5
80 452 4
80 453 3
80 454 4
80 455 5
80 456 1
80 457 1
80 458 0
80 461 1
80 462 4
80 464 1
80 465 1
80 467 1
80 468 2
80 469 4
80 470 0
80 471 4
80 473 3
80 475 2
80 476 1
80 477 3
80 478 5
80 479 1
80 480 2
80 483 1
80 485 2
80 486 4
80 487 0
80 488 3
80 489 2
80 490 1
80 491 0
80 494 4
80 495 5
80 496 4
80 498 5
80 501 2
80 503 2
80 506 5
80 508 1
80 509 3
80 511 5
80 513 2
80 514 1
80 520 5
80 521 3
80 523 0
80 525 3
80 526 5
80 532 5
80 533 0
80 534 0
80 535 5
80 539 2
80 540 0
80 541 0
80 545 5
80 547 0
80 548 3
80 549 3
80 550 2
80 552 1
80 553 1
80 554 5
80 556 3
80 558 0
80 560 5
80 564 2
80 565 2
80 567 2
80 570 5
80 572 2
80 574 0
80 575 5
80 576 2
80 578 3
80 579 2
80 581 4
80 583 2
80 590 4
80 592 1
80 593 2
80 594 4
80 596 0
80 598 2
80 607 1
80 610 4
80 615 2
80 616 5
80 617 4
80 619 5
80 620 4
80 623 1
80 624 3
80 632 3
80 634 4
80 644 1
80 646 4
80 649 0
80 651 3
80 655 1
80 659 2
80 661 4
80 664 3
80 670 5
80 676 1
80 677 5
80 685 5
80 686 4
80 692 0
80 695 2
80 699 1
80 701 5
80 709 0
80 713 1
80 717 1
80 721 4
80 726 4
80 727 3
80 728 1
80 731 4
80 732 4
80 733 1
80 735 2
80 736 3
80 742 2
80 752 0
80 753 5
80 763 2
80 764 4
80 766 0
80 774 1
80 782 2
80 783 1
80 784 1
80 791 5
80 792 0
80 807 4
80 811 0
80 813 3
80 814 2
80 816 4
80 817 2
80 818 5
80 821 5
80 833 2
80 834 3
80 835 5
80 841 4
80 847 2
80 848 1
80 851 2
80 854 4
80 855 3
80 857 3
80 862 3
80 863 4
80 871 0
80 873 4
80 874 1
80 877 4
80 886 5
80 888 4
80 889 5
80 901 0
80 904 5
80 910 1
80 913 5
80 914 0
80 916 4
80 919 3
80 921 0
80 923 5
80 925 0
80 926 1
80 933 4
80 936 0
80 945 4
80 965 4
80 966 0
80 968 5
80 971 5
80 977 4
80 978 5
80 1000 3
80 1009 2
80 1012 4
80 1026 1
80 1028 3
80 1039 1
80 1044 4
80 1060 0
80 1066 5
80 1069 5
80 1070 5
80 1071 1
80 1084 3
80 1086 0
80 1110 3
80 1120 2
80 1122 5
80 1123 4
80 1136 5
80 1150 1
80 1152 5
80 1154 2
80 1170 2
80 1173 1
80 1175 3
80 1179 1
80 1188 0
80 1189 4
80 1193 0
80 1196 1
80 1205 0
80 1208 2
80 1232 1
80 1238 3
80 1243 5
